"filename", "language", "Ignore", "Shell Script", "Docker", "Python", "HTML", "Markdown", "JavaScript", "JSON", "Less", "XML", "JSON with Comments", "CSS", "Ini", "toml", "comment", "blank", "total"
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/monsterblock.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 16, 185
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/quote.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/script.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/tableOfContents.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 6, 87
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/snippets/watercolor.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/5ePHB/style.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 812, 0, 0, 0, 0, 0, 91, 40, 943
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/Blank/settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/Blank/snippets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 426, 0, 0, 0, 0, 0, 0, 0, 6, 13, 445
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/Blank/snippets/footer.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/media/drakosfire/Shared1/DungeonMind/DungeonMindServer/static/storegenerator/themes/V3/Blank/snippets/imageMask.gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
